HR,Flam,Bayer,Con,Dbl,Cmp,RA,m,s,,Dec m,,s,Vmag,B_V,U-B,Spec. Type,pmRA,pmD,Parallax,RV
76,,,,,,0,20,5.2,N,48,51,55,6.52,,,  A0V s,0.005,-0.017,,-3
77,,Zet,Tuc,,,0,20,4.3,S,64,52,29,4.23,0.58,0.02,  F9V,1.705,1.164,0.134,9
78,,,,,,0,20,24.4,N,30,56,9,5.9,-0.1,-0.46,  B7V,0.021,0.004,,4
79,,,,,,0,20,45.5,N,32,54,41,5.79,1.59,,  K5III,-0.026,-0.014,,-36
80,41,,Psc,,,0,20,35.9,N,8,11,25,5.37,1.34,1.55, gK3,-0.002,0.008,,16
81,,,,287,,0,20,54.5,N,10,58,37,6.56,,,  A0V,-0.046,-0.028,0.005,-18
82,27,Rho,And,,,0,21,7.3,N,37,58,7,5.18,0.42,0.05,  F5III,0.06,-0.04,0.017,9
83,,Pi,Tuc,,,0,20,39,S,69,37,30,5.51,-0.05,-0.14,  B9V,-0.007,0,0.011,12
84,,Iot,Scl,,,0,21,31.2,S,28,58,54,5.18,1,0.82,  G5III,0.04,-0.074,0.027,21
85,,,,,,0,21,46.3,S,20,3,28,5.12,1.82,1.78,  M5IIe,0.071,-0.005,,29
86,42,,Psc,303,,0,22,25.5,N,13,28,57,6.23,1.22,,  K3III,0.062,0.021,,3
87,,,,,,0,21,28.6,S,77,25,37,5.97,1.4,1.4,  K3III,0.002,-0.01,,21
88,9,,Cet,,,0,22,51.8,S,12,12,34,6.39,0.66,0.24,  G2V,0.394,0.061,0.049,-7
89,,,,,,0,23,12.6,S,31,2,10,6.55,0,-0.31,  B9IVMn,0.029,-0.003,,1
90,,,,,,0,24,2,N,38,34,38,7.39,1.97,1.25,  S6.5IIIe,-0.007,-0.023,,-11
91,,,,328,,0,24,15.6,N,52,1,12,5.57,-0.12,-0.6,  B5IV,0.013,-0.004,0.004,-7
92, NO,VA 1,572,,,,,,,,,,,,,,,,,
93,12,,Cas,,,0,24,47.5,N,61,49,52,5.4,0,-0.16,  B9III,0.012,-0.001,0.015,-4
94,,,,,,0,24,29.7,S,2,13,9,6.07,1.22,1.23,  K1III,-0.033,-0.044,,15
95,47,,Tuc,,,,,,,,,,,,,,,,,
96,,,,,,0,25,6.4,N,53,2,49,5.74,-0.06,-0.31,  B9IV,0.023,-0.002,,10
97,44,,Psc,,,0,25,24.2,N,1,56,23,5.77,0.86,0.57,  G5III,-0.013,-0.015,,-4
98,,Bet,Hyi,,,0,25,45.1,S,77,15,15,2.8,0.62,0.11,  G2IV,2.215,0.324,0.153,23
99,,Alp,Phe,,,0,26,17,S,42,18,22,2.39,1.09,0.88,  K0III,0.203,-0.396,0.035,75
100,,Kap,Phe,,,0,26,12.2,S,43,40,48,3.94,0.17,0.11,  A7V,0.109,0.029,0.072,11
101,10,,Cet,,,0,26,37.4,S,0,2,59,6.19,0.9,0.55,  G8III,0.073,-0.001,,-23
102,,,,,,0,27,14.7,S,25,32,50,5.98,1.03,0.88,  G8III,0.036,-0.019,,-3
