HR,Flam,Bayer,Con,Dbl,Cmp,RA,m,s,,Dec m,,s,Vmag,B_V,U-B,Spec. Type,pmRA,pmD,Parallax,RV
4600,,,,,,12,3,39.6,S,42,26,3,5.15,0.41,-0.03,  F6V,0.331,-0.114,0.039,36
4601,,,,,,12,3,44.3,S,74,12,50,6.44,1.23,0.97,  G6III,-0.027,0.007,,9
4602,2,,Com,8406,,12,4,16.6,N,21,27,33,5.87,0.22,0.11,  F0IV-V,0.036,-0.004,0.005,6
4603,,The2,Cru,,,12,4,19.2,S,63,9,56,4.72,-0.08,-0.61,  B2IV,-0.02,0.008,,16
4604,,,,,,12,4,38.7,S,68,19,45,5.35,-0.01,-0.17,  A0IV,-0.054,-0.012,0.016,25
4605,,Kap,Cha,,,12,4,46.5,S,76,31,9,5.04,1.49,1.78,  K4III,-0.082,0.048,0.003,-2
4606,,,,,,12,4,28.1,N,85,35,14,6.27,0.59,,  F6V,-0.056,0.092,,8
4607,,,,,,12,4,57.1,S,60,58,9,5.96,1.67,2.04,  M2III,-0.038,-0.032,,0
4608,9,Omi,Vir,,,12,5,12.5,N,8,43,59,4.12,0.98,0.63,  G8IIIa,-0.22,0.046,0.039,-30
4609,,,,,,12,5,15.1,N,76,54,21,5.8,1.01,0.85,  G9III,0.147,-0.091,0.014,-20
4610,,,,8417,,12,5,39.7,N,62,55,59,6.13,1.17,1.15,  K2III,-0.05,-0.075,,-26
4611,,,,,,12,5,53.2,S,65,32,50,6.33,0.22,-0.47,  B6Iab-Ib,-0.031,-0.012,,-13
4612,,,,,,12,5,56.7,S,35,41,38,6.23,-0.08,,  B8V,-0.031,-0.002,,-18
4613,,,,,,12,5,59.8,S,3,7,54,6.37,1,0.79, gG8,-0.028,-0.019,,17
4614,,,,,,12,6,19.8,S,68,39,3,6.23,1.24,1.04,  G3Ib,-0.014,0.02,,6
4615,,,,,,12,6,23.1,S,65,42,33,6.06,0.65,0.4,  G8-K0III+A3,-0.049,0.002,,-4
4616,,Eta,Cru,,,12,6,52.9,S,64,36,49,4.15,0.34,0.03,  F2III,0.033,-0.037,0.053,9
4617,,,,,,12,7,49.8,S,75,22,1,5.18,1.3,1.37,  K2II-III,-0.098,0.019,0.02,-45
4618,,,,,B,12,8,5.2,S,50,39,41,4.47,-0.15,-0.67,  B6IIIe,-0.035,-0.01,,17
4619,,,,,C,12,8,4.8,S,50,45,48,6.37,-0.05,,  B9V,-0.037,0.002,,16
4620,,,,,,12,8,14.7,S,48,41,34,5.34,-0.01,-0.04,  B9V,-0.025,-0.017,,3
4621,,Del,Cen,,A,12,8,21.5,S,50,43,21,2.6,-0.12,-0.9,  B2IVne,-0.034,-0.008,0.026,11
4622,,,,,,12,8,24.6,S,60,50,50,6.22,1.74,1.88,  K3-4II,-0.013,0.003,,10
4623,1,Alp,Crv,,,12,8,24.8,S,24,43,44,4.02,0.32,-0.02,  F2III-IV,0.086,-0.04,0.07,4
4624,,,,,,12,8,53.8,S,44,19,34,5.75,0.24,0.16,  A2mA5-F2,-0.046,-0.049,,-9
4625,,,,,,12,8,54.5,S,41,13,53,5.48,-0.07,-0.62,  B3IV,-0.024,-0.006,,0
4626,10,,Vir,,,12,9,41.3,N,1,53,52,5.95,1.12,1.14,  K3III,0.043,-0.178,0.009,3
4627,,,,,,12,9,47.3,N,74,39,41,6.35,0.5,,  F6IV,0.001,0.006,,-19
4628,,,,,,12,10,2.5,S,34,42,18,6.17,0.03,-0.02,  A0V,-0.052,-0.018,0.006,-10
4629,11,,Vir,,,12,10,3.4,N,5,48,25,5.72,0.35,0.17,  F2-6IIIm vs,-0.158,0.016,0.019,-9
4630,2,Eps,Crv,,,12,10,7.5,S,22,37,11,3,1.33,1.47,  K2.5IIIa,-0.071,0.014,0.027,5
4631,,,,,,12,10,33.8,S,37,52,13,6.06,0.2,,  A5V,0.047,-0.035,,-7
4632,3,,Com,,,12,10,31.6,N,16,48,33,6.39,0.06,0.1,  A4V,-0.017,0.001,,-12
4633,,,,,,12,10,46.1,N,27,16,53,6.01,0.11,0.09,  A4Vn,-0.009,-0.014,,-9
4634,,,,,,12,11,4.9,S,61,16,39,6.08,0.39,0.09,  F2-3IV,-0.134,-0.018,,-3
4635,3,,Crv,,,12,11,3.9,S,23,36,9,5.46,0.06,,  A2V,-0.063,-0.016,0.023,11
4636,,,,,,12,11,2.9,S,45,25,22,6.61,1.08,0.79,  K0III,-0.018,0.009,,6
4637,,,,,,12,11,31.4,S,51,21,34,6.23,0.82,0.49,  G6III+G,-0.208,-0.067,,26
4638,,Rho,Cen,,,12,11,39.1,S,52,22,7,3.96,-0.15,-0.62,  B3V,-0.035,-0.016,0.032,15
4639,,,,,,12,11,0,N,81,42,36,6,1.62,, gK5,-0.029,0.007,,-27
4640,4,,Com,,,12,11,51.2,N,25,52,13,5.66,1.41,1.61,  K4III,-0.038,-0.031,,22
4641,68,,UMa,,,12,11,44.9,N,57,3,16,6.43,,, gK5,0.007,-0.013,,35
4642,,,,,,12,12,1.2,N,28,32,10,6.49,0.36,0.01,  F5V,0.097,-0.071,,-15
4643,5,,Com,,,12,12,9.3,N,20,32,31,5.57,0.95,,  K0II-III,-0.02,-0.019,,-25
4644,,,,,,12,12,22,S,62,57,3,5.92,0.29,-0.33,  B8Ia-Iab,-0.007,0.002,,-2
4645,,,,,,12,12,46.8,S,70,9,7,6.17,0.84,0.57,  F6Ib,-0.022,-0.009,,11
4646,,,,,,12,12,11.9,N,77,36,59,5.14,0.33,0.1,  A5m,0.01,0.022,0.031,0
4647,,,,,,12,13,13,S,34,7,32,6.5,1.66,1.46,  M4III,-0.03,-0.006,,3
4648,,,,,,12,13,25.3,S,38,55,45,5.76,-0.13,,  B4IV,-0.003,-0.006,,-43
4649,,,,,,12,13,55.7,S,78,34,25,6.35,1.24,1.41,  K2-3III,-0.033,-0.003,,35
4650,12,,Vir,,,12,13,25.9,N,10,15,44,5.85,0.27,0.11,  A2m,-0.091,-0.01,,2
4651,,,,,,12,13,36.7,S,33,47,34,6.33,0.08,,  A0V,-0.006,-0.011,,-11
4652,,,,,,12,14,2.6,S,45,43,26,5.31,1.43,1.59,  K3III,-0.042,0.007,0.007,7
4653,,,,,,12,14,16.8,S,64,24,31,6.22,0.12,-0.82,  B1.5Ia,-0.013,0.004,,-7
4654,,,,,,12,14,43.4,N,53,26,5,6.16,1.04,, gK0,-0.019,-0.015,,0
4655,,,,,,12,14,59.6,S,20,50,39,5.83,1.05,, gG7,0.001,0.004,,16
4656,,Del,Cru,,,12,15,8.7,S,58,44,56,2.8,-0.23,-0.91,  B2IV,-0.041,-0.009,0.003,22
4657,,,,,,12,15,10.6,S,10,18,45,6.11,0.46,-0.13,  F5V,0.034,-1.017,0.034,8
4658,,,,,,12,15,30.5,S,41,54,47,6.26,1.01,0.76,  K0III,-0.331,-0.175,0.025,25
4659,,,,,,12,15,8.5,N,70,12,0,5.71,1.19,, gK2,-0.023,-0.026,0.013,-14
4660,69,Del,UMa,,,12,15,25.6,N,57,1,57,3.31,0.08,0.07,  A3V,0.104,0.009,0.061,-13
4661,,,,8481,,12,15,47,S,23,21,13,6.54,0.45,,  F3V,0.039,-0.03,0.016,18
4662,4,Gam,Crv,,,12,15,48.4,S,17,32,31,2.59,-0.11,-0.34,  B8IIIp,-0.161,0.023,,-4
4663,6,,Com,,,12,16,0.2,N,14,53,56,5.1,0.06,0.08,  A3V,-0.08,-0.034,0.026,10
4664,,,,,,12,16,23.5,S,72,36,53,6.22,-0.01,-0.06,  A0V,-0.053,-0.026,,28
4665,,,,,,12,15,41.4,N,72,33,3,6.29,1.14,,  K0IIIe,-0.014,-0.035,,-48
4666,2,,CVn,8489,,12,16,7.6,N,40,39,37,5.66,1.55,1.96,  M1III+F7V,0.017,-0.032,0.004,-16
4667,7,,Com,,,12,16,20.5,N,23,56,43,4.95,0.97,0.68,  G8III,-0.027,-0.007,0.006,-28
4668,,,,,,12,16,30.1,N,33,3,41,5,1.14,1.07,  K0.5IIIb,-0.053,-0.111,0.022,-42
4669,,,,,,12,17,6,S,65,41,34,6.06,0.03,-0.05,  A0V,-0.057,-0.001,,21
4670,,,,,,12,17,3.3,S,16,41,37,6.05,0.1,0.12,  A2IV,-0.048,0.003,,-12
4671,,Eps,Mus,,,12,17,34.1,S,67,57,39,4.11,1.58,1.55,  M5III,-0.244,-0.025,0.046,7
4672,,,,,,12,17,29.5,N,53,11,28,5.81,1.3,1.52,  K6III,0.034,-0.046,,-41
4673,,,,8501,,12,17,30.5,N,28,56,14,5.7,0.16,0.12,  A4m:,-0.042,0.037,,-7
4674,,Bet,Cha,,,12,18,20.7,S,79,18,44,4.26,-0.12,-0.51,  B5Vn,-0.048,0.017,,23
4675,,,,,,12,17,47.3,S,36,5,38,6.15,0.01,,  A0V,-0.037,-0.006,0.004,-14
4676,,,,,,12,17,44.3,N,15,8,39,6.34,1.37,,  K4III,0.044,-0.063,,-42
4677,,,,8505,B,12,18,9.1,S,3,57,16,6.99,0.36,0.03,  F3V,-0.017,0.016,0.016,1
4678,,,,8505,A,12,18,9.6,S,3,56,55,6.54,0.33,0.01,  F2V,-0.013,0.024,0.016,-1
4679,,Zet,Cru,,,12,18,26.1,S,64,0,11,4.04,-0.17,-0.69,  B2.5V,-0.05,-0.01,,16
4680,,,,,,12,18,31.6,N,30,14,57,6.23,0.3,0.02,  A9.5III,0.077,-0.116,,-18
4681,13,,Vir,,,12,18,40.3,S,0,47,14,5.9,0.17,0.13,  A5Vn,0.029,-0.016,,-14
4682,,,,,,12,18,59.7,S,55,8,35,5,1.59,1.95,  M1III,-0.076,-0.014,0.01,-7
4683,,,,,,12,16,51.4,N,86,26,10,6.33,0.43,-0.08,  F4V,0.21,-0.003,0.037,-6
4684,,,,,,12,19,2.1,N,26,0,28,6.48,0.18,0.09,  A5-7mIV-V,-0.004,-0.022,,1
4685,8,,Com,,,12,19,19.1,N,23,2,5,6.27,0.17,0.15,  A5III vs,-0.022,-0.012,,1
4686,,,,,,12,15,20.3,N,87,42,0,6.28,0.35,-0.01,  F2V,-0.028,0.054,,-4
4687,,,,,,12,18,49.9,N,75,9,38,5.38,-0.02,-0.05,  A1V,-0.04,0.002,0.018,-3
4688,9,,Com,,,12,19,29.6,N,28,9,25,6.33,0.5,0.08,  F8V s,-0.197,-0.129,0.025,-8
4689,15,Eta,Vir,,,12,19,54.4,S,0,40,1,3.89,0.02,0.06,  A2IV,-0.063,-0.018,0.016,2
4690,3,,CVn,,,12,19,48.7,N,48,59,3,5.29,1.66,1.97,  M0III,-0.012,0.007,,8
4691,,,,8515,,12,20,10.7,S,22,10,32,5.97,0.82,,  G3IV,-0.109,-0.025,0.008,-1
4692,,,,,,12,20,28,S,65,50,34,6.21,-0.04,-0.15,  B9V,-0.056,-0.015,,-8
4693,,,,,,12,20,19.7,N,26,37,10,5.54,1.09,1.07,  K2III-IV,-0.065,-0.107,,-13
4694,,,,,,12,20,17.7,N,26,0,7,6.15,0.3,0.08,  F0IV,-0.145,0.019,0.06,8
4695,16,,Vir,,,12,20,21,N,3,18,45,4.96,1.16,1.15,  K0-IIIb,-0.292,-0.065,-0.002,36
4696,5,Zet,Crv,8517,,12,20,33.7,S,22,12,57,5.21,-0.1,-0.38,  B8Vne,-0.095,-0.028,,-6
4697,11,,Com,8521,,12,20,43,N,17,47,34,4.74,1.01,0.79,  G8+III,-0.111,0.092,,42
4698,,,,8519,A,12,20,41.3,N,27,3,17,7.13,0.36,-0.01,  F3V+F3V,-0.001,-0.114,0.008,-15
4699,,,,,,12,20,55.7,S,13,33,56,5.14,1.05,0.89,  K1III,-0.006,0.014,0.02,13
4700,,Eps,Cru,,,12,21,21.6,S,60,24,4,3.59,1.42,1.63,  K3-4III,-0.175,0.087,0.026,-5
4701,70,,UMa,,,12,20,50.8,N,57,51,50,5.55,1.43,1.71,  K5III,0.041,-0.073,,-43
4702,,,,,,12,21,57.5,S,56,22,29,5.92,1.57,1.64,  K4III+F:,-0.008,-0.012,,-1
4703,,Zet2,Mus,,,12,22,7.3,S,67,31,19,5.15,0.19,0.17,  A5V,-0.031,-0.003,0.007,-17
4704,,Zet1,Mus,,,12,22,11.9,S,68,18,27,5.74,1.04,0.82,  K0III,-0.016,-0.057,,20
4705,,,,,,12,22,10.8,N,24,46,26,6.19,-0.01,-0.04,  A0V,-0.062,-0.008,,-4
4706,,,,,,12,22,49.3,S,57,40,34,5.39,-0.1,-0.41,  B9V,-0.046,-0.013,,-5
4707,12,,Com,8530,,12,22,30.3,N,25,50,46,4.81,0.49,0.26,  G0III-IV+A3V,-0.011,-0.009,0.014,1
4708,17,,Vir,8531,,12,22,32,N,5,18,20,6.4,0.6,0.08,  F8V,-0.166,-0.053,0.027,5
4709,,,,,,12,25,37.5,S,86,9,2,6.33,1.08,0.89,  K0III,-0.017,-0.001,,25
4710,,,,,,12,23,13.8,S,67,37,54,6.36,0.89,0.53,  G8-K0IV,-0.759,0.254,0.013,31
4711,6,,Crv,,,12,23,21.6,S,24,50,26,5.68,1.16,, gK1,-0.019,-0.01,,-2
4712,,,,,,12,23,35.4,S,35,24,46,5.32,-0.08,,  B9III,-0.036,-0.003,,-10
4713,,,,,,12,23,36.9,S,39,18,11,6.4,0.29,,  F2V,-0.009,-0.016,,-13
4714,,,,,,12,23,44.9,S,38,54,40,5.79,-0.08,,  B9V,-0.036,0,,-8
4715,4,,CVn,,,12,23,47,N,42,32,34,6.06,0.33,0.18,  F3III-IV,-0.078,0.015,,0
4716,5,,CVn,,,12,24,1.5,N,51,33,44,4.8,0.87,0.62,  G6III,0.014,0.013,0.038,-12
4717,13,,Com,,,12,24,18.5,N,26,5,55,5.18,0.08,0.11,  A3V,-0.016,-0.011,0.009,1
4718,,,,,,12,24,44.7,S,41,23,3,6.25,1.18,1.06,  K2-3III,-0.064,-0.071,,1
4719,,,,8539,,12,24,26.7,N,25,34,58,6.42,0.27,0.08,  A7V+F4V,-0.014,-0.004,0.011,-6
4720,,,,,,12,25,17.3,S,65,46,14,6.3,0.96,0.74,  G8-K0IV,-0.08,-0.121,,25
4721,,,,,,12,25,8.5,S,42,30,52,6.11,0.65,,  G5III+F-G,-0.13,-0.022,,34
4722,,,,,,12,25,11.7,S,11,36,37,5.95,0.03,,  A1V,-0.065,-0.023,,-3
4723,,,,,,12,25,18.4,S,27,44,57,6.09,1.27,,  K1III,0.005,-0.001,,10
4724,,,,,,12,25,21.8,S,35,11,11,5.73,-0.06,,  B9III,-0.034,-0.006,,-11
4725,,,,,,12,25,15.1,N,23,55,34,6.03,1.1,1,  K0III,0.058,-0.038,0.007,-5
4726,71,,UMa,,,12,25,3.2,N,56,46,39,5.81,1.62,1.83,  M3IIIb,-0.014,-0.018,,-17
4727,,,,,,12,25,6.4,N,63,48,10,6.32,0.91,,  G8III,-0.015,0.002,,-4
4728,6,,CVn,,,12,25,50.9,N,39,1,7,5.02,0.96,0.73,  G9III,-0.078,-0.032,0.03,-4
4729,,,,,C,12,26,30.9,S,63,7,21,4.86,-0.12,-0.59,  B4IV,-0.04,-0.025,,27
4730,,Alp1,Cru,,A,12,26,35.9,S,63,5,57,1.33,-0.24,-1.03,  B0.5IV,-0.036,-0.012,0.008,-11
4731,,Alp2,Cru,,B,12,26,36.5,S,63,5,58,1.73,-0.26,-0.95,  B1V,-0.034,-0.007,0.008,-1
4732,,,,,,12,26,31.6,S,51,27,3,4.82,-0.14,-0.64,  B3Vn,-0.044,-0.017,,5
4733,14,,Com,,,12,26,24.1,N,27,16,6,4.95,0.27,0.18,  F0p,-0.013,-0.008,0.014,-4
4734,,,,,,12,26,48.2,S,48,54,48,6.26,0.68,0.22,  G3-5V,-0.633,-0.082,0.04,30
4735,,,,,,12,26,51.7,S,32,49,48,5.55,0.01,,  B9V,-0.005,-0.027,,-15
4736,,,,,,12,27,24.6,S,63,47,21,6,0.07,,  B8IV,-0.035,-0.018,,42
4737,15,Gam,Com,,,12,26,56.3,N,28,16,6,4.36,1.13,1.15,  K1III,-0.083,-0.08,0.003,4
4738,16,,Com,,,12,26,59.3,N,26,49,32,5,0.08,0.13,  A4V,-0.006,-0.011,0.024,2
4739,,,,,,12,27,28.7,S,58,59,31,5.5,1.45,1.58,  M4-5III,-0.031,0.005,0.007,72
4740,,,,,,12,26,24.2,N,71,55,47,6.24,1.06,0.85, gG8,-0.153,-0.023,0.005,6
4741,,,,,,12,27,42.1,N,8,36,37,6.37,0.93,0.68,  G8III,0.018,-0.01,,-6
4742,,,,,,12,27,49.4,S,16,37,55,6.35,0.84,0.5,  G3III,-0.018,0.003,,-8
4743,,Sig,Cen,,,12,28,2.4,S,50,13,50,3.91,-0.19,-0.78,  B2V,-0.03,-0.015,,8
4744,,,,,,12,28,18.9,S,64,20,29,6.04,0.02,-0.03,  A0Vn,-0.068,-0.027,,9
4745,73,,UMa,,,12,27,35.1,N,55,42,46,5.7,1.55,,  M2IIIb,-0.021,-0.012,,17
4746,,,,,,12,27,51.6,S,4,36,55,6.22,0.44,0.08,  A8n,-0.086,0.006,,-12
4747,,,,,,12,28,25.5,S,61,47,43,6.22,1.26,1.32,  K2III,-0.034,-0.014,,-14
4748,,,,,,12,28,22.5,S,39,2,29,5.44,-0.08,,  B8V,-0.023,-0.017,,5
4749,,,,,,12,28,33.4,S,56,24,28,6.15,0.92,0.64,  K0-1III,-0.24,-0.22,0.021,8
4750,,,,,,12,28,38.1,N,26,13,36,6.54,0.17,0.12,  A2m,-0.02,-0.014,,2
4751,,,,8568,BC,12,28,44.6,N,25,53,57,6.65,0.22,0.08,  Am(A2/A9V/F0),-0.018,-0.021,,-2
4752,17,,Com,8568,A,12,28,54.7,N,25,54,46,5.29,-0.05,-0.12,  A1IVp,-0.025,-0.02,0.021,-3
4753,18,,Com,,,12,29,26.9,N,24,6,32,5.48,0.43,0.09,  F5III,-0.031,-0.001,,25
4754,,,,,,12,29,53.9,S,56,31,29,5.8,1.56,1.82,  M1III,-0.022,0.019,,42
4755,,,,,,12,29,57.9,S,41,44,10,6.02,1.52,1.54,  M2II-III,0.008,-0.025,,3
4756,20,,Com,,,12,29,43.2,N,20,53,46,5.69,0.07,0.09,  A3V,0.024,-0.032,,-5
4757,7,Del,Crv,8572,A,12,29,51.9,S,16,30,56,2.95,-0.05,-0.09,  B9.5V,-0.21,-0.138,0.024,9
4758,,,,8573,,12,30,4.8,S,13,23,35,6.35,0.56,0.05,  G0V,-0.248,-0.041,0.049,0
4759,,,,,,12,30,17.5,S,23,41,48,5.63,1.67,2.03,  M0III,-0.02,-0.003,,-11
4760,74,,UMa,,,12,29,57.3,N,58,24,21,5.35,0.2,0.14,  A5,-0.062,0.091,0.039,7
4761,7,,CVn,,,12,30,2.9,N,51,32,8,6.21,0.51,0.03,  F6-8V,-0.289,0.024,0.035,19
4762,75,,UMa,,,12,30,4.3,N,58,46,3,6.08,0.98,,  G8III-IV,0.031,-0.024,,-17
4763,,Gam,Cru,,A,12,31,9.9,S,57,6,48,1.63,1.59,1.78,  M3.5III,0.023,-0.262,,21
4764,,Gam,Cru,,B,12,31,16.7,S,57,4,52,6.42,0.16,,  A3V,0.002,0,,2
4765,4,,Dra,,,12,30,6.7,N,69,12,4,4.95,1.62,1.81,  M3IIIa,-0.059,-0.052,0.016,-13
4766,21,,Com,,,12,31,0.6,N,24,34,2,5.46,0.05,0.1,  A2p,-0.012,-0.009,,0
4767,,,,,,12,30,50.1,N,53,4,36,6.21,0.54,0.07,  F8-G0V,0.015,0.181,,-21
4768,,,,,,12,31,40.3,S,59,25,26,5.48,0.63,0.38,  F7Ib-II,-0.018,-0.004,0.01,-20
4769,,,,,,12,32,10,S,73,0,6,5.88,1.11,1.05,  K1III,0.038,-0.024,,5
4770,,,,,,12,31,21.4,N,7,36,15,6.05,1.52,1.89,  K5,-0.018,0.01,,-17
4771,,,,,,12,31,55.8,S,63,30,22,5.95,0.27,,  A8III,-0.063,0.008,,4
4772,,,,,,12,31,38.7,S,5,3,9,6.19,1.04,0.86,  G9,-0.038,0.031,,2
4773,,Gam,Mus,,,12,32,28,S,72,7,59,3.87,-0.15,-0.62,  B5V,-0.058,-0.002,,3
4774,,,,,,12,32,4.5,S,32,32,1,6.46,0.2,0.18,  A3V,-0.015,-0.008,,-9
4775,8,Eta,Crv,,,12,32,4.2,S,16,11,46,4.31,0.38,0.01,  F2III-IV,-0.426,-0.061,0.052,-4
4776,,,,,,12,32,36,S,13,51,33,5.74,0.4,-0.02,  F2V,-0.144,-0.051,,-1
4777,20,,Vir,,,12,33,2.9,N,10,17,44,6.26,0.95,0.7,  G8III,-0.051,0.005,,1
4778,,,,,,12,33,22.4,S,19,47,31,6.26,0.29,,  F2V,-0.013,-0.002,,5
4779,,,,,,12,33,34.3,S,12,49,49,5.58,0.86,0.45,  G8III,-0.016,0.052,,-16
4780,22,,Com,,,12,33,34.2,N,24,16,59,6.29,0.11,0.1,  A4Vm,-0.018,-0.004,,2
4781,21,,Vir,,,12,33,46.8,S,9,27,7,5.48,-0.03,-0.1,  A0V,-0.08,0.007,0.019,-11
4782,,,,,,12,33,59.2,S,49,54,34,6.38,0.46,,  F3III-IV,-0.163,-0.04,,18
4783,,,,,,12,33,38.9,N,33,14,51,5.42,1,0.83,  K0III,0.02,-0.033,0.033,-20
4784,,,,,,12,33,47.4,N,33,23,5,6.24,1.05,0.9,  K0III,0.002,-0.008,0.056,-43
4785,8,Bet,CVn,,,12,33,44.5,N,41,21,27,4.26,0.59,0.05,  G0V,-0.705,0.292,0.117,7
4786,9,Bet,Crv,,,12,34,23.2,S,23,23,48,2.65,0.89,0.6,  G5II,0.002,-0.054,0.034,-8
4787,5,Kap,Dra,,,12,33,29,N,69,47,18,3.87,-0.13,-0.57,  B6IIIpe,-0.059,0.012,0.013,-11
4788,,,,,,12,34,42.3,S,44,40,24,5.77,0.7,0.28,  G1V,-0.083,-0.215,0.021,18
4789,23,,Com,,,12,34,51.1,N,22,37,45,4.81,0,-0.01,  A0IV,-0.065,0.021,0.004,-16
4790,,,,,,12,35,29,S,61,50,31,6.22,0.73,0.3,  G3III,-0.304,-0.084,,6
4791,24,,Com,8600,B,12,35,6.3,N,18,22,38,6.56,0.25,0.11,  A9Vm,-0.003,0.024,0.002,5
4792,24,,Com,8600,A,12,35,7.8,N,18,22,37,5.02,1.15,1.11,  K2III,-0.006,0.023,0.002,4
4793,,,,,,12,35,8.1,N,21,52,53,5.85,1.22,,  K1III,0.014,-0.019,,-14
4794,,,,,,12,35,45.5,S,41,1,19,5.13,0.22,0,  A7III,-0.107,-0.001,0.024,-11
4795,6,,Dra,,,12,34,44,N,70,1,19,4.94,1.31,1.15,  K3III*,-0.032,0,,5
4796,,,,,,12,36,1.2,S,39,52,12,5.8,0.01,,  A0V,-0.034,-0.037,,6
4797,,,,,,12,35,58.6,S,20,31,38,6.2,0.33,0.08,  F0III,0.014,-0.037,,-2
4798,,Alp,Mus,,,12,37,11,S,69,8,8,2.69,-0.2,-0.83,  B2IV-V,-0.048,-0.013,,13
4799,25,,Vir,,,12,36,47.4,S,5,49,55,5.87,0.07,0.09,  A3V,-0.028,-0.018,,-6
4800,,,,,,12,36,23.3,N,59,29,13,5.5,,,  M4IIIe,-0.025,-0.011,,-91
4801,25,,Com,,,12,36,58.3,N,17,5,22,5.68,1.41,1.75,  K5III,-0.037,-0.016,,-8
4802,,Tau,Cen,,,12,37,42.2,S,48,32,28,3.86,0.05,0.03,  A2V,-0.184,-0.005,0.024,5
4803,,,,8612,,12,37,42.2,S,27,8,20,5.45,0.32,0.03,  F1IV,0.076,-0.091,0.037,-1
4804,,,,,,12,39,14.5,S,75,22,10,6.49,0.08,-0.24,  B8Vne,-0.032,0.031,,-20
4805,,,,,,12,38,4.4,N,3,16,57,6.33,0.01,0.01,  A1V,-0.029,-0.009,,-8
4806,,,,,,12,38,52.5,S,67,11,35,6.25,0.06,-0.85,  B1Ia,-0.006,-0.002,,-16
4807,,,,,,12,38,22.4,N,1,51,17,5.71,1.6,1.83,  M3+IIIb,-0.08,-0.018,0.029,-16
4808,,,,,,12,38,30,N,6,59,18,7.08,1.44,1.28,  M4.5IIIe,-0.026,-0.004,0.014,-26
4809,,,,,,12,38,44.6,S,18,15,1,6,0.29,, dA6,-0.119,0.025,,-13
4810,,,,,,12,39,3.5,S,30,25,20,5.89,1.21,,  K2-3III,-0.034,-0.006,,-13
4811,9,,CVn,,,12,38,46.3,N,40,52,28,6.37,0.18,0.07,  A7Vn,-0.026,-0.016,,-15
4812,,,,,,12,39,2.1,N,22,39,34,6.38,1.1,,  K1III,-0.05,-0.016,,-27
4813,26,Chi,Vir,,,12,39,14.8,S,7,59,44,4.66,1.23,1.39,  K2III-IIIb,-0.076,-0.025,0.02,-20
4814,,,,,,12,39,55.6,S,66,30,42,6.26,-0.05,-0.2,  B8V,-0.059,-0.021,,-3
4815,26,,Com,,,12,39,7.3,N,21,3,45,5.46,0.96,,  G9III,-0.081,-0.013,,-21
4816,,,,,,12,39,16.9,N,35,57,7,6.45,0.06,0.03,  A0p,0.022,-0.006,,-15
4817,,,,,,12,39,52.5,S,39,59,15,4.64,-0.08,-0.42,  B8II/III,-0.047,-0.03,,15
4818,,,,,,12,41,23,S,46,8,44,5.84,1.52,1.72,  K4III,-0.069,0.057,,7
4819,,Gam,Cen,,,12,41,31,S,48,57,35,2.17,-0.01,-0.01,  A1IV,-0.189,-0.005,0.016,-6
4820,,,,,,12,42,5.1,S,69,24,27,6.33,0.78,0.54,  F7Ib-G2,-0.004,-0.002,,4
4821,,,,8627,B,12,41,16,S,13,0,49,6.08,,,  F3Vn,-0.113,0.019,0.014,-14
4822,,,,8627,A,12,41,16.2,S,13,0,54,5.98,0.42,0.1,  F5V,-0.127,0.008,0.014,-11
4823,,,,,,12,41,56.6,S,59,41,9,4.93,-0.04,-0.39,  B6IVe,-0.025,-0.002,,13
4824,27,,Vir,,,12,41,34.4,N,10,25,35,6.19,0.19,0.1,  A7Vn,-0.109,0.004,,9
4825,29,Gam,Vir,8630,A,12,41,39.6,S,1,26,58,3.65,0.36,-0.03,  F0V,-0.565,0.012,0.099,-20
4826,29,Gam,Vir,8630,B,12,41,39.6,S,1,26,58,3.68,,,  F0V,-0.565,0.012,0.099,-20
4827,,,,,,12,41,49.2,S,19,45,31,6.03,0.39,0.09,  F3-5III,-0.212,0.027,,-3
4828,30,Rho,Vir,,,12,41,53.1,N,10,14,8,4.88,0.09,0.03,  A0V,0.084,-0.091,,2
4829,31,,Vir,8633,,12,41,57.1,N,6,48,24,5.59,0,-0.02,  A2V,-0.068,-0.012,0.012,4
4830,,,,,,12,42,50.3,S,63,3,31,5.31,0.27,-0.79,  B1IIIe,-0.015,0,,35
4831,,,,,,12,42,35.4,S,48,48,47,4.66,1.09,1.01,  K0III,-0.127,-0.032,0.025,-12
4832,,,,,,12,42,49.6,S,55,56,50,6.08,-0.03,-0.19,  B9V,-0.047,-0.019,,15
4833,76,,UMa,,,12,41,33.9,N,62,42,47,6.07,0.01,0.07,  A2III,-0.032,-0.017,,-4
4834,,,,,,12,43,9.1,S,56,10,34,6,-0.08,-0.3,  B7-8V,-0.041,-0.01,,10
4835,,,,,,12,43,28.2,S,58,54,11,6.4,1.09,1,  K0-1III,-0.085,-0.011,,17
4836,,,,,,12,43,26.3,S,40,10,40,6.44,0.25,0.04,  A8V:,0.027,-0.014,,-5
4837,,,,,,12,43,38.1,S,1,34,37,5.93,0.86,0.46,  G8IIIp,0.05,-0.076,,1
4838,,,,,,12,43,58.7,S,36,20,57,6.39,-0.06,,  A0V,0.013,-0.007,,-1
4839,,,,,,12,44,0.5,S,28,19,26,5.48,1.34,1.5,  K4III,-0.027,-0.038,,7
